"DescripcionComercial","AnnioCorte","MesFactura","FormaFarmaceutica","CUMCodATC.x","PrincipioActivo","ViaAdministracion","PrecioMinimoUnitario","PrecioMaximoUnitario","ValorTotalFacturado","TotalUnidadesFacturadas","titular","CUMCodATC.y","descripcionatc"
"AXIMOD","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",560000,560000,1120000,2,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",560000,560000,1120000,2,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",52000,52000,1456000,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",52000,52000,1456000,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",215406,215406,6031368,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",215406,215406,6031368,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","1","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","1","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","2","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","2","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
